CALIFORNIA			
Individual Income Tax Returns:  Selected Income and Tax Items by State,  ZIP Code, and Size of Adjusted Gross Income,  Tax Year 2012                                                                                                                                                                                                                                                                                                                                                                                                           			
[Money amounts are in thousands of dollars]			
ZIP code [1]	Size of adjusted gross income	Number of returns	Adjusted gross income (AGI)
94306	$75,000 under $100,000	1080	94442
94306	$100,000 under $200,000	2680	383005
94306	$200,000 or more	3130	2120993
			
94401		16,640	1,183,600
94401	$1 under $25,000	5770	74638
94401	$25,000 under $50,000	3820	138687
94401	$50,000 under $75,000	2360	145800
94401	$75,000 under $100,000	1580	136781
94401	$100,000 under $200,000	2320	313029
94401	$200,000 or more	790	374665
			
94402		12,750	2,316,577
94402	$1 under $25,000	2960	33029
94402	$25,000 under $50,000	1910	70295
94402	$50,000 under $75,000	1500	92655
94402	$75,000 under $100,000	1150	100185
94402	$100,000 under $200,000	2620	373212
94402	$200,000 or more	2610	1647201
			
94403		20,290	2,928,354
94403	$1 under $25,000	5230	62678
94403	$25,000 under $50,000	3740	137790
94403	$50,000 under $75,000	2870	177191
94403	$75,000 under $100,000	2140	185020
94403	$100,000 under $200,000	4100	575070
94403	$200,000 or more	2210	1790605
			
94404		16,730	2,161,899
94404	$1 under $25,000	3230	35293
94404	$25,000 under $50,000	2080	77566
94404	$50,000 under $75,000	2050	127748
94404	$75,000 under $100,000	1960	171301
94404	$100,000 under $200,000	4610	651849
94404	$200,000 or more	2800	1098142
			
94501		30,290	2,207,443
94501	$1 under $25,000	8890	110469
94501	$25,000 under $50,000	6830	251620
94501	$50,000 under $75,000	4960	305767
94501	$75,000 under $100,000	3080	266741
94501	$100,000 under $200,000	4850	667782
94501	$200,000 or more	1680	605064
			
94502		6,740	770,251
94502	$1 under $25,000	1500	16303
94502	$25,000 under $50,000	920	34055
94502	$50,000 under $75,000	780	48731
94502	$75,000 under $100,000	730	63553
94502	$100,000 under $200,000	1820	257787
94502	$200,000 or more	990	349822
			
94503		8,890	557,748
94503	$1 under $25,000	2800	33984
94503	$25,000 under $50,000	2010	73331
94503	$50,000 under $75,000	1320	80751
94503	$75,000 under $100,000	890	77738
94503	$100,000 under $200,000	1560	213137
94503	$200,000 or more	310	78807
			
94505		5,920	541,258
94505	$1 under $25,000	1420	16246
94505	$25,000 under $50,000	900	33662
94505	$50,000 under $75,000	790	49415
94505	$75,000 under $100,000	770	67124
94505	$100,000 under $200,000	1590	219946
94505	$200,000 or more	450	154865
			
94506		10,380	2,396,465
94506	$1 under $25,000	2180	19098
94506	$25,000 under $50,000	900	32888
94506	$50,000 under $75,000	770	47846
94506	$75,000 under $100,000	690	60476
94506	$100,000 under $200,000	2410	353376
94506	$200,000 or more	3430	1882781
			
94507		7,390	2,164,896
94507	$1 under $25,000	1690	15687
94507	$25,000 under $50,000	690	25493
94507	$50,000 under $75,000	550	33399
94507	$75,000 under $100,000	480	42206
94507	$100,000 under $200,000	1440	208661
94507	$200,000 or more	2540	1839450
			
94508		1,310	105,910
94508	$1 under $25,000	440	4950
94508	$25,000 under $50,000	260	9782
94508	$50,000 under $75,000	190	11865
94508	$75,000 under $100,000	150	12889
94508	$100,000 under $200,000	180	24701
94508	$200,000 or more	90	41723
			
94509		26,460	1,220,460
94509	$1 under $25,000	10740	139265
94509	$25,000 under $50,000	6810	246610
94509	$50,000 under $75,000	3890	237941
94509	$75,000 under $100,000	2290	199543
94509	$100,000 under $200,000	2480	322935
94509	$200,000 or more	250	74166
			
94510		13,730	1,158,546
94510	$1 under $25,000	3720	43208
94510	$25,000 under $50,000	2460	91341
94510	$50,000 under $75,000	1870	115608
94510	$75,000 under $100,000	1520	131823
94510	$100,000 under $200,000	3120	432102
94510	$200,000 or more	1040	344464
			
94513		24,230	1,871,453
94513	$1 under $25,000	6990	83423
94513	$25,000 under $50,000	4160	152709
94513	$50,000 under $75,000	3120	194506
94513	$75,000 under $100,000	2810	245346
94513	$100,000 under $200,000	5900	809776
94513	$200,000 or more	1250	385693
			
94514		530	31,053
94514	$1 under $25,000	200	2495
94514	$25,000 under $50,000	150	5338
94514	$50,000 under $75,000	60	3627
94514	$75,000 under $100,000	30	2900
94514	$100,000 under $200,000	70	8841
94514	$200,000 or more	20	7852
			
94515		3,300	253,222
94515	$1 under $25,000	1180	15401
94515	$25,000 under $50,000	890	31953
94515	$50,000 under $75,000	480	29292
94515	$75,000 under $100,000	240	20676
94515	$100,000 under $200,000	360	47686
94515	$200,000 or more	150	108214
			
94517		6,060	681,877
94517	$1 under $25,000	1390	14517
94517	$25,000 under $50,000	800	29545
94517	$50,000 under $75,000	630	39106
94517	$75,000 under $100,000	620	53851
94517	$100,000 under $200,000	1780	252659
94517	$200,000 or more	840	292199
			
94518		12,970	893,334
94518	$1 under $25,000	4080	49415
94518	$25,000 under $50,000	2800	102802
94518	$50,000 under $75,000	1860	114999
94518	$75,000 under $100,000	1330	115959
94518	$100,000 under $200,000	2310	316777
94518	$200,000 or more	590	193382
			
94519		8,790	520,959
94519	$1 under $25,000	2790	35204
94519	$25,000 under $50,000	1920	70688
94519	$50,000 under $75,000	1450	89749
94519	$75,000 under $100,000	1060	92065
94519	$100,000 under $200,000	1400	185121
94519	$200,000 or more	170	48132
			
94520		16,320	668,492
94520	$1 under $25,000	7250	98225
94520	$25,000 under $50,000	4780	171174
94520	$50,000 under $75,000	2130	129946
94520	$75,000 under $100,000	1070	92356
94520	$100,000 under $200,000	980	125702
94520	$200,000 or more	110	51089
			
94521		19,960	1,462,575
94521	$1 under $25,000	5690	67754
94521	$25,000 under $50,000	3870	142639
94521	$50,000 under $75,000	2920	181431
94521	$75,000 under $100,000	2230	194270
94521	$100,000 under $200,000	4260	583456
94521	$200,000 or more	990	293025
			
94523		16,660	1,400,932
94523	$1 under $25,000	4380	51064
94523	$25,000 under $50,000	2920	108844
94523	$50,000 under $75,000	2440	151807
94523	$75,000 under $100,000	1910	166190
94523	$100,000 under $200,000	3770	525834
94523	$200,000 or more	1240	397193
			
94525		1,690	102,511
94525	$1 under $25,000	540	6884
94525	$25,000 under $50,000	370	13948
94525	$50,000 under $75,000	280	17272
94525	$75,000 under $100,000	200	17474
94525	$100,000 under $200,000	260	34735
94525	$200,000 or more	40	12198
			
94526		15,610	2,597,307
94526	$1 under $25,000	3450	34077
94526	$25,000 under $50,000	1740	65157
94526	$50,000 under $75,000	1540	95615
94526	$75,000 under $100,000	1480	129035
94526	$100,000 under $200,000	3820	553834
94526	$200,000 or more	3580	1719589
			
94530		12,790	1,026,951
94530	$1 under $25,000	3390	40517
94530	$25,000 under $50,000	2560	94494
94530	$50,000 under $75,000	2130	131542
94530	$75,000 under $100,000	1360	118398
94530	$100,000 under $200,000	2450	339816
94530	$200,000 or more	900	302184
			
94531		17,960	1,115,801
94531	$1 under $25,000	5710	70150
94531	$25,000 under $50,000	3680	135470
94531	$50,000 under $75,000	2830	174379
94531	$75,000 under $100,000	2100	182701
94531	$100,000 under $200,000	3150	423193
94531	$200,000 or more	490	129908
			
94533		30,520	1,452,540
94533	$1 under $25,000	12220	161519
